init,lead_h,forecast_time,lon_fc,lat_fc,mslp_fc,lon_obs,lat_obs,mslp_obs,erro_km
2023031100,0,2023031100,-84.0423,-8.9296,1007.95,-84.0423,-8.9296,1007.95,0.00
2023031100,6,2023031106,-84.3099,-9.2864,1009.02,,,,
2023031100,12,2023031112,-84.5775,-10.0892,1009.93,,,,
2023031100,18,2023031118,-83.7747,-10.0892,1010.62,,,,
2023031100,24,2023031200,-84.4883,-9.8216,1009.83,-84.1315,-10.5352,1008.66,88.44
2023031100,30,2023031206,-83.6855,-10.1784,1010.19,,,,
2023031100,36,2023031212,-84.3099,-9.9108,1010.25,,,,
2023031100,42,2023031218,-84.3991,-10.3568,1010.20,,,,
2023031100,48,2023031300,-85.1127,-9.8216,1009.43,,,,
2023031100,54,2023031306,-85.1127,-9.0188,1010.06,,,,
2023031100,60,2023031312,-85.3803,-8.9296,1010.35,,,,
2023031100,66,2023031318,-85.2911,-9.1080,1009.96,,,,
2023031100,72,2023031400,-85.2019,-9.2864,1009.55,,,,
2023031100,78,2023031406,-85.6479,-9.4648,1010.00,,,,
2023031100,84,2023031412,-86.0047,-9.9108,1010.28,,,,
2023031100,90,2023031418,-86.8967,-9.9108,1010.62,,,,
2023031100,96,2023031500,-86.9859,-9.5540,1009.90,,,,
2023031100,102,2023031506,-86.6291,-10.0000,1010.78,,,,
2023031100,108,2023031512,-86.8967,-10.6244,1010.93,,,,
2023031100,114,2023031518,-86.6291,-11.1596,1011.02,,,,
2023031100,120,2023031600,-86.8075,-11.7840,1010.22,,,,
