init,lead_h,forecast_time,lon_fc,lat_fc,mslp_fc,lon_obs,lat_obs,mslp_obs,erro_km,lon_nhc,lat_nhc,mslp_nhc,erro_km_nhc
2022100600,0,2022100600,-65.07730102539062,10.842583656311035,1007.7916259765625,-65.07730102539062,10.842583656311035,1007.7916259765625,0.00,nan,nan,nan,
2022100600,24,2022100700,-67.23736572265625,11.556196212768555,1009.4689331054688,-68.49739837646484,11.199389457702637,1006.0457763671875,142.97,-69.2,11.9,1004,217.07
2022100600,48,2022100800,-69.4874267578125,11.645397186279297,1009.0484619140625,-75.24759674072266,13.072619438171387,1001.2249755859375,645.44,-75.5,12.8,999,665.88
2022100600,72,2022100900,-70.11743927001953,11.377791404724121,1008.1610717773438,-81.81778717041016,12.537410736083984,994.87890625,1279.18,-82.0,12.5,989,1298.59
2022100600,96,2022101000,-71.19747924804688,9.861368179321289,1009.2949829101562,-87.21794891357422,12.537410736083984,1000.0211181640625,1772.24,-87.6,12.6,993,1814.27
2022100600,120,2022101100,-72.18750762939453,8.969355583190918,1011.4896850585938,-86.76793670654297,16.016265869140625,1007.8330688476562,1765.01,-89.0,13.0,1002,1888.50
2022100700,0,2022100700,-68.49739837646484,11.199389457702637,1006.0457763671875,-68.49739837646484,11.199389457702637,1006.0457763671875,0.00,-69.2,11.9,1004,109.22
2022100700,24,2022100800,-70.74746704101562,11.377791404724121,1008.3099365234375,-75.24759674072266,13.072619438171387,1001.2249755859375,524.07,-75.5,12.8,999,540.38
2022100700,48,2022100900,-71.91749572753906,9.504563331604004,1007.9547119140625,-81.81778717041016,12.537410736083984,994.87890625,1131.78,-82.0,12.5,989,1149.63
2022100700,72,2022101000,-73.7175521850586,8.434146881103516,1008.5614013671875,-87.21794891357422,12.537410736083984,1000.0211181640625,1544.57,-87.6,12.6,993,1586.37
2022100700,96,2022101100,-73.89755249023438,7.3637309074401855,1009.4738159179688,-86.76793670654297,16.016265869140625,1007.8330688476562,1698.57,-89.0,13.0,1002,1766.87
2022100700,120,2022101200,-73.89755249023438,7.3637309074401855,1010.3964233398438,nan,nan,nan,,nan,nan,nan,
2022100800,0,2022100800,-75.24759674072266,13.072619438171387,1001.2249755859375,-75.24759674072266,13.072619438171387,1001.2249755859375,0.00,-75.5,12.8,999,40.83
2022100800,24,2022100900,-77.49766540527344,12.62661361694336,1008.8662719726562,-81.81778717041016,12.537410736083984,994.87890625,468.94,-82.0,12.5,989,488.85
2022100800,48,2022101000,-79.11771392822266,11.556196212768555,1009.256103515625,-87.21794891357422,12.537410736083984,1000.0211181640625,887.56,-87.6,12.6,993,929.53
2022100800,72,2022101100,-80.64775848388672,11.556196212768555,1010.3623657226562,-86.76793670654297,16.016265869140625,1007.8330688476562,826.13,-89.0,13.0,1002,921.51
2022100800,96,2022101200,-79.92772674560547,10.842583656311035,1011.3510131835938,nan,nan,nan,,nan,nan,nan,
2022100800,120,2022101300,-77.76766967773438,11.110189437866211,1010.4691162109375,nan,nan,nan,,nan,nan,nan,
2022100900,0,2022100900,-81.81778717041016,12.537410736083984,994.87890625,-81.81778717041016,12.537410736083984,994.87890625,0.00,-82.0,12.5,989,20.21
2022100900,24,2022101000,-83.52784729003906,12.002202987670898,1007.5947875976562,-87.21794891357422,12.537410736083984,1000.0211181640625,405.34,-87.6,12.6,993,447.37
2022100900,48,2022101100,-81.54779052734375,10.931785583496094,1011.2247924804688,-86.76793670654297,16.016265869140625,1007.8330688476562,798.76,-89.0,13.0,1002,842.56
2022100900,72,2022101200,-79.5677261352539,10.931785583496094,1010.6219482421875,nan,nan,nan,,nan,nan,nan,
2022100900,96,2022101300,-77.31765747070312,10.842583656311035,1009.9017944335938,nan,nan,nan,,nan,nan,nan,
2022100900,120,2022101400,-76.23762512207031,11.020988464355469,1009.3392333984375,nan,nan,nan,,nan,nan,nan,
2022101000,0,2022101000,-87.21794891357422,12.537410736083984,1000.0211181640625,-87.21794891357422,12.537410736083984,1000.0211181640625,0.00,-87.6,12.6,993,42.04
2022101000,24,2022101100,-89.468017578125,12.537410736083984,1010.142333984375,-86.76793670654297,16.016265869140625,1007.8330688476562,484.01,-89.0,13.0,1002,72.26
2022101000,48,2022101200,-87.39796447753906,11.645397186279297,1011.274658203125,nan,nan,nan,,nan,nan,nan,
2022101000,72,2022101300,-87.57796478271484,13.429426193237305,1010.4124755859375,nan,nan,nan,,nan,nan,nan,
2022101000,96,2022101400,-86.13793182373047,12.180603981018066,1009.8143920898438,nan,nan,nan,,nan,nan,nan,
2022101000,120,2022101500,-87.48795318603516,12.537410736083984,1009.8499755859375,nan,nan,nan,,nan,nan,nan,
2022101100,0,2022101100,-86.76793670654297,16.016265869140625,1007.8330688476562,-86.76793670654297,16.016265869140625,1007.8330688476562,0.00,-89.0,13.0,1002,412.56
2022101100,24,2022101200,-86.40792846679688,15.83786392211914,1010.86279296875,nan,nan,nan,,nan,nan,nan,
2022101100,48,2022101300,-88.65799713134766,15.927064895629883,1011.7190551757812,nan,nan,nan,,nan,nan,nan,
2022101100,72,2022101400,-89.19800567626953,15.481058120727539,1009.2103271484375,nan,nan,nan,,nan,nan,nan,
2022101100,96,2022101500,-88.0279769897461,16.105464935302734,1009.2228393554688,nan,nan,nan,,nan,nan,nan,
2022101100,120,2022101600,-86.22792053222656,15.927064895629883,1010.1115112304688,nan,nan,nan,,nan,nan,nan,
