init,lead_h,forecast_time,lon_fc,lat_fc,mslp_fc,lon_obs,lat_obs,mslp_obs,erro_km
2023030700,0,2023030700,-87.69954681396484,-7.76996374130249,1008.1917114257812,-87.69954681396484,-7.76996374130249,1008.1917114257812,0.0
2023030700,24,2023030800,-86.896728515625,-7.413158416748047,1010.220458984375,-85.73711395263672,-6.521144866943359,1008.75,161.92439497621478
2023030700,48,2023030900,-86.18312072753906,-7.948365688323975,1010.58544921875,-85.5587158203125,-6.431943893432617,1009.5670166015625,182.14547803978257
2023030700,72,2023031000,-86.71833038330078,-7.948365688323975,1009.7357177734375,-85.73711395263672,-7.2347564697265625,1009.003173828125,134.1366143647992
2023030700,96,2023031100,-86.36151885986328,-8.751178741455078,1009.565185546875,-84.04228210449219,-8.929582595825195,1007.9478759765625,255.59421638595765
2023030700,120,2023031200,-86.09392547607422,-8.037569046020508,1009.80859375,nan,nan,nan,nan
2023030800,0,2023030800,-85.73711395263672,-6.521144866943359,1008.75,-85.73711395263672,-6.521144866943359,1008.75,0.0
2023030800,24,2023030900,-84.93429565429688,-6.164339065551758,1009.673095703125,-85.5587158203125,-6.431943893432617,1009.5670166015625,75.15492602236266
2023030800,48,2023031000,-84.1314926147461,-6.431943893432617,1009.7307739257812,-85.73711395263672,-7.2347564697265625,1009.003173828125,198.47549777915492
2023030800,72,2023031100,-84.30989074707031,-7.056352615356445,1009.8262329101562,-84.04228210449219,-8.929582595825195,1007.9478759765625,210.36756638947006
2023030800,96,2023031200,-83.59628295898438,-6.521144866943359,1010.1512451171875,nan,nan,nan,nan
2023030800,120,2023031300,-83.86388397216797,-5.718332290649414,1010.7584228515625,nan,nan,nan,nan
2023030900,0,2023030900,-85.5587158203125,-6.431943893432617,1009.5670166015625,-85.5587158203125,-6.431943893432617,1009.5670166015625,0.0
2023030900,24,2023031000,-85.38031005859375,-7.2347564697265625,1010.333740234375,-85.73711395263672,-7.2347564697265625,1009.003173828125,39.35891062704058
2023030900,48,2023031100,-85.29109954833984,-8.126769065856934,1010.21240234375,-84.04228210449219,-8.929582595825195,1007.9478759765625,163.79015219430616
2023030900,72,2023031200,-85.64791870117188,-7.502358913421631,1010.5643920898438,nan,nan,nan,nan
2023030900,96,2023031300,-84.84510040283203,-7.1455535888671875,1010.7798461914062,nan,nan,nan,nan
2023030900,120,2023031400,-84.75590515136719,-6.2535400390625,1011.4918823242188,nan,nan,nan,nan
2023031000,0,2023031000,-85.73711395263672,-7.2347564697265625,1009.003173828125,-85.73711395263672,-7.2347564697265625,1009.003173828125,0.0
2023031000,24,2023031100,-85.64791870117188,-8.126769065856934,1010.345703125,-84.04228210449219,-8.929582595825195,1007.9478759765625,197.84683172157366
2023031000,48,2023031200,-85.5587158203125,-8.39437484741211,1009.781982421875,nan,nan,nan,nan
2023031000,72,2023031300,-85.64791870117188,-8.572776794433594,1009.8812255859375,nan,nan,nan,nan
2023031000,96,2023031400,-86.53993225097656,-8.572776794433594,1010.447509765625,nan,nan,nan,nan
2023031000,120,2023031500,-86.36151885986328,-7.859165191650391,1010.791748046875,nan,nan,nan,nan
2023031100,0,2023031100,-84.04228210449219,-8.929582595825195,1007.9478759765625,-84.04228210449219,-8.929582595825195,1007.9478759765625,0.0
2023031100,24,2023031200,-84.93429565429688,-9.018783569335938,1009.7188110351562,nan,nan,nan,nan
2023031100,48,2023031300,-85.11270141601562,-8.840381622314453,1009.2647705078125,nan,nan,nan,nan
2023031100,72,2023031400,-85.20189666748047,-9.286388397216797,1009.5547485351562,nan,nan,nan,nan
2023031100,96,2023031500,-86.09392547607422,-9.375589370727539,1010.1312255859375,nan,nan,nan,nan
2023031100,120,2023031600,-86.45072937011719,-10.178400993347168,1010.56494140625,nan,nan,nan,nan
